area,sec_id,sec_offset,sec_name,sec_type,ram_addr,file_addr,name,namespace,size,align,type,value
_main,0,00000000,.init,text,80003100,00000100,TRK_memset,TRK_MINNOW_DOLPHIN.a mem_TRK.c,00000030,4,,
_main,0,00000030,.init,text,80003130,00000130,TRK_memcpy,TRK_MINNOW_DOLPHIN.a mem_TRK.c,00000024,4,,
_main,0,00000154,.init,text,80003154,00001f34,gTRKInterruptVectorTable,TRK_MINNOW_DOLPHIN.a __exception.s
_main,0,00001f88,.init,text,80005088,00002088,__TRK_reset,TRK_MINNOW_DOLPHIN.a dolphin_trk.c,0000002c,4,,
_main,0,00001fb4,.init,text,800050b4,000020b4,memset,Runtime.PPCEABI.H.a __mem.c,00000030,4,,
_main,0,00001fe4,.init,text,800050e4,000020e4,__fill_mem,Runtime.PPCEABI.H.a __mem.c,000000b8,4,,
_main,0,0000209c,.init,text,8000519c,0000219c,memcpy,Runtime.PPCEABI.H.a __mem.c,00000050,4,,
_main,0,000020ec,.init,text,800051ec,000021ec,__check_pad3,os.a __start.c,00000040,4,,
_main,0,0000212c,.init,text,8000522c,0000222c,__set_debug_bba,os.a __start.c,0000000c,4,,
_main,0,00002138,.init,text,80005238,00002238,__get_debug_bba,os.a __start.c,00000008,4,,
_main,0,00002140,.init,text,80005240,00002240,__start,os.a __start.c,0000015c,4,,
_main,0,0000229c,.init,text,8000539c,0000239c,__init_registers,os.a __start.c,00000090,4,,
_main,0,0000232c,.init,text,8000542c,0000242c,__init_data,os.a __start.c,000000c0,4,,
_main,0,000023ec,.init,text,800054ec,000024ec,__init_hardware,os.a __ppc_eabi_init.cpp,00000024,4,,
_main,0,00002410,.init,text,80005510,00002510,__flush_cache,os.a __ppc_eabi_init.cpp,00000034,4,,
_main,1,00000000,.text,text,800055e0,000025e0,main,main.o,00000054,4,,
_main,1,00000054,.text,text,80005634,00002634,memcpy_as4,system.o,00000020,4,,
_main,1,00000074,.text,text,80005654,00002654,mtxGetRotationElement,system.o,00000338,4,,
_main,1,000003ac,.text,text,8000598c,0000298c,sysMsec2FrameFloat,system.o,00000040,4,,
_main,1,000003ec,.text,text,800059cc,000029cc,sysMsec2Frame,system.o,00000028,4,,
_main,1,00000414,.text,text,800059f4,000029f4,sysFrame2SecFloat,system.o,0000000c,4,,
_main,1,00000420,.text,text,80005a00,00002a00,getV60FPS,system.o,000000d8,4,,
_main,1,000004f8,.text,text,80005ad8,00002ad8,sysDummyDraw,system.o,0000020c,4,,
_main,1,00000704,.text,text,80005ce4,00002ce4,sysWaitDrawSync,system.o,000000ac,4,,
_main,1,000007b0,.text,text,80005d90,00002d90,sysGetToken,system.o,00000010,4,,
_main,1,000007c0,.text,text,80005da0,00002da0,irand,system.o,00000044,4,,
_main,1,00000804,.text,text,80005de4,00002de4,movePos,system.o,000000a8,4,,
_main,1,000008ac,.text,text,80005e8c,00002e8c,sincosf,system.o,00000078,4,,
_main,1,00000924,.text,text,80005f04,00002f04,padGetRumbleStatus,system.o,00000010,4,,
_main,1,00000934,.text,text,80005f14,00002f14,padRumbleHardOff,system.o,00000014,4,,
_main,1,00000948,.text,text,80005f28,00002f28,padRumbleOff,system.o,00000014,4,,
_main,1,0000095c,.text,text,80005f3c,00002f3c,padRumbleOn,system.o,00000014,4,,
_main,1,00000970,.text,text,80005f50,00002f50,keyGetSubStickY,system.o,00000010,4,,
_main,1,00000980,.text,text,80005f60,00002f60,keyGetStickY,system.o,00000010,4,,
_main,1,00000990,.text,text,80005f70,00002f70,keyGetStickX,system.o,00000010,4,,
_main,1,000009a0,.text,text,80005f80,00002f80,keyGetButtonTrg,system.o,00000014,4,,
_main,1,000009b4,.text,text,80005f94,00002f94,keyGetDirTrg,system.o,00000014,4,,
_main,1,000009c8,.text,text,80005fa8,00002fa8,keyGetButtonRep,system.o,00000014,4,,
_main,1,000009dc,.text,text,80005fbc,00002fbc,keyGetDirRep,system.o,00000014,4,,
_main,1,000009f0,.text,text,80005fd0,00002fd0,keyGetButton,system.o,00000014,4,,
_main,1,00000a04,.text,text,80005fe4,00002fe4,keyGetDir,system.o,00000014,4,,
_main,1,00000a18,.text,text,80005ff8,00002ff8,makeKey,system.o,00000504,4,,
_main,1,00000f1c,.text,text,800064fc,000034fc,qqsort,system.o,00000184,4,,
_main,1,000010a0,.text,text,80006680,00003680,fsort,system.o,0000060c,4,,
_main,1,000016ac,.text,text,80006c8c,00003c8c,intplGetValue,system.o,000003b0,4,,
_main,1,00001a5c,.text,text,8000703c,0000403c,angleABf_1,system.o,000001b4,4,,
_main,1,00001c10,.text,text,800071f0,000041f0,compAngle,system.o,0000003c,4,,
_main,1,00001c4c,.text,text,8000722c,0000422c,distABf,system.o,000000fc,4,,
_main,1,00001d48,.text,text,80007328,00004328,reviseAngle,system.o,00000060,4,,
_main,1,00001da8,.text,text,80007388,00004388,getMarioStDvdRoot,system.o,00000008,4,,
_main,1,00001db0,.text,text,80007390,00004390,seq_gameExit,seq_game.o,00000014,4,,
_main,1,00001dc4,.text,text,800073a4,000043a4,seq_gameMain,seq_game.o,00000198,4,,
_main,1,00001f5c,.text,text,8000753c,0000453c,seq_gameInit,seq_game.o,00000038,4,,
_main,1,00001f94,.text,text,80007574,00004574,_relUnLoad,seq_mapchange.o,0000006c,4,,
_main,1,00002000,.text,text,800075e0,000045e0,_load,seq_mapchange.o,000004d4,4,,
_main,1,000024d4,.text,text,80007ab4,00004ab4,_unload,seq_mapchange.o,00000178,4,,
_main,1,0000264c,.text,text,80007c2c,00004c2c,seq_mapChangeMain,seq_mapchange.o,00000af8,4,,
_main,1,00003144,.text,text,80008724,00005724,seq_mapChangeExit,seq_mapchange.o,00000028,4,,
_main,1,0000316c,.text,text,8000874c,0000574c,seq_mapChangeInit,seq_mapchange.o,0000013c,4,,
_main,1,000032a8,.text,text,80008888,00005888,pressStartGX,seq_title.o,000004a8,4,,
_main,1,00003750,.text,text,80008d30,00005d30,disp2,seq_title.o,00000368,4,,
_main,1,00003ab8,.text,text,80009098,00006098,disp1,seq_title.o,0000018c,4,,
_main,1,00003c44,.text,text,80009224,00006224,titleMain,seq_title.o,000008c4,4,,
_main,1,00004508,.text,text,80009ae8,00006ae8,L_titleInit,seq_title.o,000001e4,4,,
_main,1,000046ec,.text,text,80009ccc,00006ccc,N_getDebugMode,seq_title.o,0000000c,4,,
_main,1,000046f8,.text,text,80009cd8,00006cd8,seq_titleMain,seq_title.o,00000020,4,,
_main,1,00004718,.text,text,80009cf8,00006cf8,seq_titleExit,seq_title.o,00000038,4,,
_main,1,00004750,.text,text,80009d30,00006d30,seq_titleInit,seq_title.o,00000060,4,,
_main,1,000047b0,.text,text,80009d90,00006d90,DbgBtlSel_GetMsgDataPtr,seq_title.o,00000008,4,,
_main,1,000047b8,.text,text,80009d98,00006d98,bgDisp,bgdrv.o,000004dc,4,,
_main,1,00004c94,.text,text,8000a274,00007274,bgMain,bgdrv.o,00000194,4,,
_main,1,00004e28,.text,text,8000a408,00007408,bgTransOffsetOn,bgdrv.o,0000002c,4,,
_main,1,00004e54,.text,text,8000a434,00007434,bgTransOffsetOff,bgdrv.o,0000002c,4,,
_main,1,00004e80,.text,text,8000a460,00007460,bgAutoScrollOn,bgdrv.o,0000002c,4,,
_main,1,00004eac,.text,text,8000a48c,0000748c,bgAutoScrollOff,bgdrv.o,0000002c,4,,
_main,1,00004ed8,.text,text,8000a4b8,000074b8,bgSetScrlOffset,bgdrv.o,00000028,4,,
_main,1,00004f00,.text,text,8000a4e0,000074e0,bgDispOff,bgdrv.o,0000002c,4,,
_main,1,00004f2c,.text,text,8000a50c,0000750c,bgDispOn,bgdrv.o,0000002c,4,,
_main,1,00004f58,.text,text,8000a538,00007538,bgSetColor,bgdrv.o,00000028,4,,
_main,1,00004f80,.text,text,8000a560,00007560,bgReEntry,bgdrv.o,00000194,4,,
_main,1,00005114,.text,text,8000a6f4,000076f4,bgEntry,bgdrv.o,0000016c,4,,
_main,1,00005280,.text,text,8000a860,00007860,bgReInit,bgdrv.o,00000044,4,,
_main,1,000052c4,.text,text,8000a8a4,000078a4,bgInit,bgdrv.o,00000048,4,,
_main,1,0000530c,.text,text,8000a8ec,000078ec,camRoadCurveOff,cam_road.o,00000094,4,,
_main,1,000053a0,.text,text,8000a980,00007980,camRoadCurveOn,cam_road.o,00000094,4,,
_main,1,00005434,.text,text,8000aa14,00007a14,camRoadReset,cam_road.o,0000010c,4,,
